"geneID"	"percentMeth"
"g1"	45.8333335
"g10000"	25.7575755
"g10001"	36.6666665
"g10002"	52.380952
"g10003"	66.6666665
"g10004"	83.333333
"g10005"	87.5
"g10006"	66.666667
"g10008"	83.333333
"g10009"	83.333333
"g10014"	77.857143
"g10016"	85.714286
"g10017"	83.333333
"g10018"	66.666667
"g10019"	50
"g1002"	0
"g10021"	100
"g10022"	100
"g10024"	50
"g10025"	62.5
"g10026"	0
"g10029"	0
"g10032"	100
"g10033"	96.153846
"g10034"	100
"g10036"	60
"g10037"	80
"g10039"	100
"g10040"	0
"g10043"	60
"g10044"	91.6666665
"g10048"	100
"g10049"	66.666667
"g10061"	0
"g10063"	7.692308
"g10064"	0
"g10065"	0
"g10069"	10
"g1007"	0
"g10071"	7.142857
"g10073"	0
"g10074"	60
"g10075"	0
"g10077"	0
"g10078"	0
"g10079"	0
"g1008"	0
"g10080"	0
"g10082"	0
"g10083"	0
"g10084"	0
"g10085"	0
"g10089"	0
"g1009"	0
"g10090"	0
"g10094"	0
"g10102"	0
"g10105"	0
"g10107"	25.8333335
"g10108"	85.714286
"g10109"	88.888889
"g10110"	95.4545455
"g10111"	100
"g10112"	0
"g10113"	0
"g10116"	0
"g10119"	92.307692
"g10120"	0
"g10122"	0
"g10123"	0
"g10124"	0
"g10125"	0
"g10126"	0
"g10127"	0
"g10128"	0
"g1013"	0
"g10132"	0
"g10136"	0
"g10137"	0
"g10139"	16.666667
"g1014"	20
"g10140"	100
"g10141"	83.333333
"g10144"	0
"g10146"	0
"g10147"	0
"g10148"	31.4285715
"g1015"	100
"g10150"	0
"g10153"	0
"g10156"	0
"g10160"	0
"g10161"	0
"g10162"	0
"g10163"	0
"g10164"	0
"g10165"	0
"g10167"	0
"g10168"	0
"g10169"	0
"g1017"	0
"g10170"	0
"g10171"	0
"g10172"	0
"g10178"	60.7142855
"g10179"	89.89899
"g10180"	0
"g10181"	0
"g10182"	0
"g10183"	0
"g10184"	0
"g10185"	0
"g10186"	20
"g10187"	0
"g10189"	0
"g1019"	0
"g10190"	0
"g10191"	0
"g10192"	0
"g10193"	0
"g10195"	0
"g10196"	0
"g10205"	100
"g10206"	0
"g10207"	0
"g10208"	0
"g1021"	4.5454545
"g10210"	0
"g10214"	0
"g10215"	0
"g10216"	0
"g10217"	0
"g10218"	0
"g10219"	0
"g10221"	63.636364
"g10223"	0
"g10224"	0
"g10225"	0
"g10228"	0
"g10230"	0
"g10232"	0
"g1024"	38.095238
"g10242"	0
"g10243"	0
"g10244"	0
"g10245"	0
"g10249"	0
"g10251"	0
"g10252"	0
"g10254"	0
"g10255"	0
"g10256"	0
"g10257"	0
"g10258"	0
"g1026"	41.6666665
"g10261"	0
"g10263"	0
"g10264"	0
"g10265"	40
"g10266"	0
