"geneID"	"percentMeth"
"g10009"	61.0416665
"g10018"	31.436966
"g10019"	100
"g10021"	0
"g10024"	7.5
"g10025"	0.442478
"g10036"	2.325581
"g10037"	92.857143
"g10039"	63.636364
"g10059"	0.934579
"g10061"	1.136364
"g10063"	0
"g10064"	0
"g1007"	0.389105
"g10071"	0.389105
"g10074"	0
"g10075"	1.587302
"g10079"	0
"g1008"	0
"g10080"	1.17363
"g10089"	0
"g1009"	0.473934
"g10094"	0
"g10100"	1.219512
"g10101"	0
"g10102"	0.806452
"g10104"	1.923077
"g10105"	0
"g10107"	1.049869
"g10108"	95.962294
"g10109"	96.153846
"g10110"	1.843616
"g10111"	2.222222
"g10112"	1.333333
"g10113"	0
"g10119"	94.366197
"g10120"	100
"g10122"	0
"g10123"	7.4175825
"g10124"	48.5416665
"g10126"	0
"g10127"	0
"g10132"	0
"g10133"	0
"g10136"	0
"g10139"	1.136364
"g10141"	91.538462
"g10144"	0
"g10146"	13.333333
"g1015"	29.861111
"g10150"	0.921659
"g10157"	0
"g10160"	0.6775065
"g10161"	0.647948
"g10164"	0
"g10165"	0.793651
"g1017"	0
"g10170"	3.3227515
"g10178"	91.1458335
"g10179"	95.081967
"g10180"	0
"g10181"	1.587302
"g10182"	0
"g10183"	1.158301
"g10184"	57.142857
"g10185"	0.917431
"g10186"	4.761905
"g10189"	97.727273
"g1019"	0.680272
"g10190"	0
"g10191"	0.492069
"g10192"	0.482951
"g10193"	8.108108
"g10195"	0
"g10207"	0
"g1021"	2.4
"g10214"	0
"g10217"	3.173077
"g10218"	0.671141
"g10219"	0
"g1022"	1.0678325
"g10223"	0
"g10224"	0
"g10225"	10
"g10228"	0
"g10230"	0
"g10239"	1.06383
"g1024"	92.4700915
"g10242"	0
"g10244"	0
"g10245"	1.342282
"g10246"	0
"g10247"	2.061856
"g10248"	0
"g10249"	0
"g10252"	0
"g10255"	0
"g10256"	0
"g10258"	0
"g10260"	0
"g10266"	0
"g10267"	0
"g10271"	0
"g10275"	0.632911
"g10277"	96.4787
"g10278"	100
"g10279"	19.354839
"g10282"	96.388889
"g10286"	100
"g10288"	96.3844795
"g10289"	0.877811
"g10290"	0.5097955
"g10291"	0.613497
"g10292"	0
"g10294"	0
"g10295"	1.086957
"g10296"	93.3333335
"g10297"	7.229437
"g10298"	0.5494505
"g10299"	0.588235
"g10300"	0.78125
"g10305"	0
"g10306"	0
"g10307"	0.684932
"g10310"	0
"g10312"	4.6875
"g1032"	100
"g10321"	0
"g10331"	93.75
"g10338"	0
"g10339"	0
"g10345"	0
"g10346"	0
"g10349"	0
"g1035"	86.2781955
"g10352"	0
"g10353"	1.694915
"g10355"	1.739657
"g10357"	45
"g10362"	0.681115
"g10364"	0
"g10365"	0.456621
"g10374"	0
"g10375"	3.614458
"g10380"	40
"g10384"	5.833333
"g10385"	100
"g10386"	1.960784
"g10391"	0.304878
"g10392"	0
"g10395"	1.323998
"g10397"	1.190476
"g104"	50
"g10405"	89.7727275
"g10407"	100
"g10408"	1.25
"g10409"	0
